rating_id,session_id,rating
1,1,1
2,2,3
3,3,5
4,4,2
5,5,2
6,6,4
7,7,4
8,8,5
9,9,2
10,10,5
11,11,1
12,12,5
13,13,4
14,14,2
15,15,4
16,16,2
17,17,2
18,17,1
19,17,4
20,18,5
21,19,4
22,20,2
23,21,4
24,22,2
25,23,2
26,24,1
27,25,2
28,26,2
29,27,2
30,28,1
31,29,1
32,30,5
33,31,5
34,32,3
35,33,2
36,34,5
37,35,2
38,36,1
39,37,3
40,37,3
41,38,2
42,39,1
43,40,2
44,41,4
45,42,2
46,43,5
47,44,2
48,45,2
49,46,4
50,47,5
51,48,1
52,49,3
53,50,2
54,51,1
55,52,4
56,53,4
57,54,1
58,55,1
59,56,2
60,57,1
61,58,2
62,59,3
63,60,1
64,61,4
65,62,2
66,63,2
67,64,2
68,65,5
69,66,5
70,67,3
71,68,1
72,69,5
73,70,3
74,71,3
75,72,1
76,73,4
77,74,1
78,75,3
79,76,5
80,77,2
81,78,4
82,79,5
83,80,3
84,81,1
85,82,3
86,83,1
87,84,5
88,85,3
89,86,1
90,87,5
91,88,5
92,89,5
93,90,1
94,91,1
95,92,4
96,92,1
97,93,1
98,93,5
99,94,3
100,94,1
101,95,4
102,96,1
103,96,2
104,97,3
105,97,2
106,98,3
107,98,2
108,99,3
109,100,4
110,101,5
111,102,2
112,102,5
113,102,5
114,102,5
115,102,3
116,102,4
117,102,2
118,102,2
119,102,4
120,102,3
121,103,1
122,104,2
123,104,4
124,104,4
125,104,1
126,105,5
127,105,5
128,105,5
129,105,2
130,105,4
131,105,3
132,105,3
133,105,4
134,105,4
135,105,5
136,105,1
137,105,2
138,105,4
139,105,2
140,106,1
141,106,5
142,106,3
143,106,1
144,106,4
145,106,4
146,106,5
147,106,4
148,106,3
149,106,5
150,106,5
151,106,5
152,106,5
153,106,3
154,107,3
155,108,3
156,109,4
157,110,4
158,111,2
159,112,5
160,113,1
161,114,4
162,115,5
163,116,2
164,117,3
165,118,2
166,119,1
167,120,3
168,121,1
169,122,5
170,123,3
171,123,3
172,124,5
173,125,2
174,126,1
175,127,1
176,127,1
177,128,5
178,128,3
179,129,2
180,129,4
181,130,2
182,131,5
183,132,2
184,133,2
185,134,2
186,135,3
187,135,3
188,135,5
189,135,1
190,136,1
191,136,4
192,136,1
193,136,4
194,137,4
195,137,2
196,137,1
197,137,5
198,138,2
199,138,1
200,138,2
201,138,4
202,139,2
203,139,2
204,139,1
205,139,2
206,140,1
207,140,4
208,140,1
209,140,1
210,140,1
211,140,5
212,140,2
213,140,4
214,140,5
215,140,5
216,141,5
217,141,5
218,141,4
219,141,1
220,141,2
221,141,2
222,141,3
223,141,5
224,141,4
225,141,3
226,142,3
227,142,1
228,142,5
229,142,2
230,142,3
231,142,3
232,142,1
233,142,2
234,142,1
235,142,3
236,143,4
237,143,5
238,143,4
239,143,3
240,143,5
241,143,2
242,143,1
243,143,2
244,143,4
245,143,1
246,144,3
247,145,3
248,146,2
249,147,1
250,148,5
251,149,5
252,150,3
253,151,1
254,152,1
255,153,5
256,154,2
257,155,3
258,156,3
259,157,4
260,158,2
261,159,2
262,160,1
263,161,2
264,161,1
265,161,3
266,162,2
267,162,4
268,163,1
269,163,2
270,164,4
271,164,2
272,165,3
273,166,4
274,167,3
275,168,5
276,169,2
277,170,2
278,171,3
279,172,2
280,173,2
281,174,4
282,174,1
283,174,5
284,174,5
285,174,2
286,175,2
287,176,3
288,177,5
289,178,2
290,178,5
291,178,5
292,178,2
293,178,5
294,179,2
295,180,5
296,181,1
297,181,4
298,181,1
299,181,1
300,181,2
301,181,4
302,182,1
303,183,2
304,183,4
305,184,2
306,184,4
307,184,4
308,184,5
309,185,1
310,186,5
311,187,1
312,187,3
313,187,4
314,187,3
315,188,1
316,189,4
317,190,1
318,190,4
319,190,4
320,190,4
321,191,3
322,192,5
323,193,2
324,193,3
325,193,3
326,193,3
327,194,4
328,195,5
329,196,3
330,197,5
331,198,5
332,199,3
333,199,1
334,199,4
335,199,3
336,199,5
337,199,4
338,199,4
339,200,1
340,200,2
341,201,3
342,201,2
343,202,1
344,202,5
345,203,4
346,203,3
347,204,5
348,204,1
349,205,4
350,205,4
351,206,4
352,207,5
353,208,4
354,209,2
355,209,4
356,209,4
357,209,5
358,209,5
359,209,2
360,210,4
361,210,5
362,210,4
363,210,5
364,210,5
365,210,4
366,211,1
367,211,4
368,211,5
369,211,3
370,211,1
371,211,1
372,212,2
373,212,4
374,212,4
375,212,5
376,212,3
377,213,5
378,213,3
379,213,5
380,213,4
381,213,5
382,214,3
383,214,4
384,214,2
385,214,2
386,214,1
387,215,5
388,215,2
389,215,3
390,215,4
391,215,3
392,215,1
393,216,5
394,216,1
395,216,4
396,216,1
397,216,3
398,216,1
399,217,2
400,217,3
401,217,1
402,217,3
403,217,2
404,217,1
405,218,3
406,219,4
407,220,4
408,221,4
409,221,1
410,221,3
411,221,5
412,221,3
413,221,3
414,222,5
415,223,2
416,224,3
417,225,3
418,226,4
419,227,3
420,228,2
421,229,1
422,230,5
423,231,2
424,232,5
425,233,2
426,234,2
427,235,5
428,236,2
429,237,4
430,238,1
431,239,4
432,240,3
433,241,2
434,242,4
435,243,5
436,244,2
437,245,2
438,246,3
439,246,1
440,246,5
441,246,2
442,246,3
443,247,4
444,247,1
445,248,1
446,249,2
447,250,5
448,251,2
449,252,4
450,253,3
451,254,5
452,255,1
453,256,4
454,257,4
455,258,3
456,259,4
457,260,4
458,261,5
459,262,3
460,263,5
461,264,5
462,265,4
463,266,3
464,267,4
465,268,1
466,269,5
467,270,4
468,271,1
469,272,4
470,273,5
471,273,4
472,274,3
473,275,1
474,276,2
475,277,1
476,278,5
477,278,3
478,279,3
479,280,2
480,280,3
481,281,5
482,281,5
483,282,2
484,283,4
485,283,5
486,284,4
487,285,5
488,286,5
489,287,3
490,288,4
491,289,1
492,290,5
493,291,4
494,292,3
495,293,3
496,294,2
497,295,2
498,296,1
499,297,2
500,298,2
501,298,2
502,299,1
503,300,3
504,301,4
505,302,3
506,302,4
507,303,5
508,304,1
509,305,1
510,306,3
511,307,4
512,307,3
513,307,3
514,307,3
515,308,3
516,309,2
517,310,2
518,311,1
519,312,1
520,313,5
521,314,1
522,315,2
523,316,2
524,317,4
525,318,3
526,318,5
527,318,1
528,319,2
529,319,2
530,319,4
531,320,5
532,320,3
533,320,2
534,321,4
535,321,3
536,321,5
537,322,5
538,323,4
539,324,4
540,325,4
541,326,1
542,327,1
543,328,5
544,329,3
545,330,2
546,331,4
547,332,3
548,333,2
549,334,3
550,335,2
551,336,3
552,337,5
553,338,4
554,339,5
555,340,5
556,341,3
557,342,5
558,343,3
559,344,2
560,345,5
561,346,5
562,347,1
563,348,3
564,349,3
565,349,5
566,349,5
567,349,2
568,349,1
569,349,4
570,350,5
571,351,3
572,352,1
573,353,3
574,354,2
575,355,1
576,356,1
577,357,5
578,358,5
579,359,1
580,360,2
581,361,4
582,362,5
583,363,5
584,364,5
585,365,2
586,366,2
587,367,5
588,368,1
589,369,3
590,370,3
591,371,5
592,372,2
593,373,4
594,374,3
595,375,5
596,376,1
597,377,4
598,377,1
599,377,4
600,377,1
601,377,3
602,378,2
603,379,3
604,380,2
605,381,2
606,382,4
607,383,3
608,384,3
609,385,4
610,386,5
611,387,3
612,388,5
613,389,5
614,390,5
615,391,3
616,392,5
617,393,5
618,394,4
619,395,1
620,396,1
621,397,5
622,398,5
623,399,5
624,400,1
625,400,3
626,400,2
627,400,4
628,400,1
629,400,4
630,400,1
631,400,5
632,400,1
633,400,5
634,400,3
635,400,2
636,400,1
637,400,3
638,400,3
639,400,2
640,400,3
641,400,1
642,400,2
643,400,3
644,400,4
645,400,1
646,400,2
647,400,3
648,400,3
649,401,4
650,402,3
651,403,1
652,404,4
653,405,1
654,406,4
655,407,5
656,408,4
657,409,4
658,410,1
659,411,2
660,412,3
661,413,2
662,413,5
663,413,5
664,413,4
665,413,1
666,413,4
667,413,3
668,413,1
669,413,3
670,413,1
671,413,1
672,413,2
673,413,2
674,413,2
675,413,4
676,413,2
677,413,5
678,413,1
679,413,3
680,413,2
681,413,5
682,414,1
683,415,1
684,416,1
685,417,5
686,418,5
687,419,1
688,420,1
689,421,4
690,422,5
691,423,5
692,424,1
693,425,4
694,426,5
695,427,1
696,428,2
697,429,4
698,430,5
699,431,1
700,432,1
701,433,1
702,434,3
703,435,5
704,436,5
705,437,2
706,438,5
707,439,2
708,440,1
709,441,5
710,442,5
711,443,4
712,444,5
713,445,1
714,446,2
715,447,5
716,448,4
717,449,3
718,450,5
719,451,2
720,452,5
721,453,1
722,454,5
723,455,1
724,456,3
725,457,4
726,458,2
727,459,4
728,460,2
729,461,4
730,462,4
731,463,2
732,464,1
733,465,1
734,466,5
735,467,3
736,468,5
737,469,5
738,470,1
739,471,5
740,472,4
741,473,5
742,474,2
743,475,3
744,476,3
745,477,4
746,478,5
747,479,2
748,480,1
749,481,3
750,482,5
751,483,2
752,484,1
753,485,4
754,486,5
755,487,2
756,487,1
757,487,2
758,488,2
759,489,1
760,490,1
761,491,2
762,492,4
763,493,4
764,494,3
765,495,1
766,495,1
767,496,2
768,497,2
769,498,3
770,499,2
771,500,4
772,501,2
773,501,5
774,502,2
775,503,1
776,504,4
777,505,2
778,506,4
779,507,4
780,508,5
781,509,1
782,510,5
783,511,2
784,512,5
785,513,5
786,514,3
787,515,5
788,516,5
789,517,5
790,518,5
791,519,3
792,520,4
793,521,4
794,522,3
795,523,5
796,524,5
797,525,5
798,526,4
799,527,5
800,528,1
801,529,1
802,530,1
803,531,1
804,532,3
805,533,5
806,534,1
807,535,2
808,536,5
809,537,4
810,538,4
811,539,5
812,540,4
813,541,4
814,542,5
815,543,1
816,544,5
817,545,4
818,546,3
819,547,1
820,548,2
821,549,2
822,550,5
823,551,3
824,552,5
825,553,2
826,553,2
827,554,5
828,555,3
829,556,3
830,557,2
831,558,3
832,559,2
833,560,3
834,561,1
835,562,2
836,563,4
837,564,5
838,565,3
839,566,2
840,567,4
841,568,3
842,569,4
843,570,5
844,571,3
845,572,5
846,573,5
847,574,4
848,575,1
849,576,5
850,577,5
851,578,1
852,579,3
853,580,4
854,581,2
855,582,2
856,583,5
857,584,5
858,585,5
859,586,5
860,587,1
861,588,5
862,589,4
863,590,5
864,591,1
865,592,2
866,593,4
867,594,2
868,595,1
869,596,5
870,597,4
871,598,1
872,599,5
873,600,1
874,601,5
875,602,2
876,603,1
877,604,1
878,605,4
879,606,5
880,607,3
881,608,2
882,609,3
883,610,2
884,611,4
885,612,1
886,613,4
887,614,2
888,615,3
889,616,2
890,617,1
891,618,2
892,619,2
893,620,3
894,621,3
895,622,4
896,623,5
897,624,2
898,625,1
899,626,4
900,627,5
901,628,4
902,629,5
903,630,1
904,631,1
905,632,3
906,633,4
907,634,2
908,635,3
909,636,4
910,637,1
911,638,2
912,639,5
913,640,4
914,641,4
915,642,4
916,643,3
917,644,3
918,645,1
919,646,3
920,647,4
921,648,2
922,649,3
923,650,2
924,651,2
925,652,2
926,653,5
927,654,5
928,655,3
929,656,5
930,657,1
931,658,1
932,659,3
933,660,4
