session_id,session_date,instructor_id,course_id
1,2023-12-01,9,1
2,2023-12-01,9,2
3,2023-12-01,9,3
4,2023-11-26,9,1
5,2023-11-26,9,2
6,2023-11-26,9,3
7,2023-11-26,9,1
8,2023-11-26,9,2
9,2023-11-26,9,3
10,2023-11-23,9,1
11,2023-11-23,9,2
12,2023-11-23,9,3
13,2023-11-20,2,19
14,2023-11-17,9,1
15,2023-11-17,9,2
16,2023-11-17,9,3
17,2023-11-17,1,7
18,2023-11-16,9,1
19,2023-11-16,9,2
20,2023-11-16,9,3
21,2023-11-15,9,1
22,2023-11-15,9,2
23,2023-11-15,9,3
24,2023-11-13,9,1
25,2023-11-13,9,2
26,2023-11-13,9,3
27,2023-11-12,3,1
28,2023-11-12,3,2
29,2023-11-12,3,3
30,2023-11-06,9,1
31,2023-11-06,9,2
32,2023-11-06,9,3
33,2023-11-03,9,1
34,2023-11-03,9,2
35,2023-11-03,9,3
36,2023-11-03,1,7
37,2023-11-01,1,7
38,2023-11-01,9,1
39,2023-11-01,9,2
40,2023-11-01,9,3
41,2023-10-29,9,1
42,2023-10-29,9,2
43,2023-10-29,9,3
44,2023-10-27,9,1
45,2023-10-27,9,2
46,2023-10-27,9,3
47,2023-10-26,2,1
48,2023-10-26,2,2
49,2023-10-26,2,3
50,2023-10-25,9,1
51,2023-10-25,9,2
52,2023-10-25,9,3
53,2023-10-24,1,4
54,2023-10-24,9,1
55,2023-10-24,1,5
56,2023-10-24,9,2
57,2023-10-24,9,3
58,2023-10-23,9,1
59,2023-10-23,9,2
60,2023-10-23,9,3
61,2023-10-17,9,1
62,2023-10-17,9,2
63,2023-10-17,9,3
64,2023-10-17,9,4
65,2023-10-17,9,5
66,2023-10-17,9,6
67,2023-10-16,9,1
68,2023-10-16,9,2
69,2023-10-16,9,3
70,2023-10-15,9,1
71,2023-10-15,9,2
72,2023-10-15,9,3
73,2023-10-12,9,1
74,2023-10-12,9,2
75,2023-10-12,9,3
76,2023-10-11,7,1
77,2023-10-11,7,2
78,2023-10-11,7,3
79,2023-10-10,9,1
80,2023-10-10,9,2
81,2023-10-10,9,3
82,2023-10-05,2,17
83,2023-10-05,2,13
84,2023-10-03,2,4
85,2023-10-02,2,1
86,2023-10-02,2,2
87,2023-10-02,2,3
88,2023-10-01,2,1
89,2023-10-01,2,2
90,2023-10-01,2,3
91,2023-10-01,2,5
92,2023-09-26,2,1
93,2023-09-26,2,2
94,2023-09-26,2,3
95,2023-09-13,1,4
96,2023-09-12,1,1
97,2023-09-12,1,2
98,2023-09-12,1,3
99,2023-09-12,1,13
100,2023-09-11,9,1
101,2023-09-11,9,2
102,2023-09-11,7,1
103,2023-09-11,9,3
104,2023-09-11,7,1
105,2023-09-11,7,2
106,2023-09-11,7,3
107,2023-09-10,9,1
108,2023-09-10,9,2
109,2023-09-10,9,3
110,2023-09-08,1,4
111,2023-09-08,1,5
112,2023-09-03,9,1
113,2023-09-03,9,2
114,2023-09-03,9,3
115,2023-08-29,9,1
116,2023-08-29,9,2
117,2023-08-29,9,3
118,2023-08-29,9,4
119,2023-08-29,9,5
120,2023-08-28,9,1
121,2023-08-28,9,2
122,2023-08-28,9,3
123,2023-08-20,1,13
124,2023-08-17,9,1
125,2023-08-17,9,2
126,2023-08-17,9,3
127,2023-08-10,9,1
128,2023-08-10,9,2
129,2023-08-10,9,3
130,2023-08-08,9,1
131,2023-08-08,9,2
132,2023-08-08,9,3
133,2023-07-31,1,4
134,2023-07-30,1,5
135,2023-07-27,9,5
136,2023-07-25,9,1
137,2023-07-25,9,2
138,2023-07-25,9,3
139,2023-07-25,9,4
140,2023-07-24,9,1
141,2023-07-24,9,2
142,2023-07-24,9,3
143,2023-07-24,9,4
144,2023-07-23,9,1
145,2023-07-23,9,2
146,2023-07-23,9,3
147,2023-07-18,9,1
148,2023-07-18,9,2
149,2023-07-18,9,3
150,2023-07-17,9,1
151,2023-07-17,9,2
152,2023-07-17,9,3
153,2023-07-17,9,4
154,2023-07-17,9,5
155,2023-07-13,1,1
156,2023-07-13,1,2
157,2023-07-13,1,3
158,2023-07-11,9,1
159,2023-07-11,9,2
160,2023-07-11,9,3
161,2023-07-10,15,1
162,2023-07-09,1,1
163,2023-07-09,1,2
164,2023-07-09,1,3
165,2023-07-09,7,1
166,2023-07-09,7,2
167,2023-07-09,7,3
168,2023-07-07,1,1
169,2023-07-07,1,2
170,2023-07-07,1,3
171,2023-07-06,15,4
172,2023-07-06,15,5
173,2023-07-03,15,1
174,2023-07-03,1,1
175,2023-07-03,15,1
176,2023-07-03,1,1
177,2023-07-03,15,2
178,2023-07-03,1,2
179,2023-07-03,15,2
180,2023-07-03,1,2
181,2023-07-03,1,3
182,2023-07-03,15,4
183,2023-07-03,15,3
184,2023-06-25,15,14
185,2023-06-25,6,1
186,2023-06-25,15,14
187,2023-06-25,15,24
188,2023-06-25,6,2
189,2023-06-25,15,24
190,2023-06-25,15,6
191,2023-06-25,6,3
192,2023-06-25,15,6
193,2023-06-25,15,23
194,2023-06-07,3,3
195,2023-06-07,3,2
196,2023-05-29,9,1
197,2023-05-29,9,2
198,2023-05-29,9,3
199,2023-05-23,15,18
200,2023-05-16,9,1
201,2023-05-16,9,2
202,2023-05-16,9,3
203,2023-05-15,9,1
204,2023-05-15,9,2
205,2023-05-15,9,3
206,2023-05-09,9,1
207,2023-05-09,9,2
208,2023-05-09,9,3
209,2023-05-04,9,1
210,2023-05-04,9,2
211,2023-05-04,9,3
212,2023-05-03,9,1
213,2023-05-03,9,2
214,2023-05-03,9,3
215,2023-05-02,9,1
216,2023-05-02,9,2
217,2023-05-02,9,3
218,2023-04-28,8,1
219,2023-04-28,7,2
220,2023-04-28,2,3
221,2023-04-26,15,22
222,2023-04-24,9,1
223,2023-04-24,9,2
224,2023-04-24,9,3
225,2023-04-11,9,4
226,2023-04-11,9,5
227,2023-04-07,9,4
228,2023-04-07,9,5
229,2023-04-06,9,1
230,2023-04-06,9,2
231,2023-04-06,9,3
232,2023-04-02,9,1
233,2023-04-02,9,2
234,2023-04-02,9,3
235,2023-04-02,9,4
236,2023-03-31,9,1
237,2023-03-31,9,2
238,2023-03-31,9,3
239,2023-03-24,9,1
240,2023-03-24,9,2
241,2023-03-24,9,3
242,2023-03-24,9,4
243,2023-03-23,9,1
244,2023-03-23,9,2
245,2023-03-23,9,3
246,2023-03-20,9,29
247,2023-03-16,9,10
248,2023-03-15,9,1
249,2023-03-15,9,2
250,2023-03-15,9,3
251,2023-03-12,9,1
252,2023-03-12,9,2
253,2023-03-12,9,3
254,2023-03-12,9,4
255,2023-03-09,9,5
256,2023-03-03,4,5
257,2023-02-27,9,1
258,2023-02-27,9,2
259,2023-02-27,9,3
260,2023-02-26,9,1
261,2023-02-26,9,2
262,2023-02-26,9,3
263,2023-02-26,9,4
264,2023-02-22,9,2
265,2023-02-22,9,3
266,2023-02-22,9,4
267,2023-02-20,9,1
268,2023-02-20,9,2
269,2023-02-20,9,3
270,2023-02-17,13,1
271,2023-02-17,13,2
272,2023-02-17,13,3
273,2023-02-15,13,7
274,2023-02-15,13,4
275,2023-02-15,13,7
276,2023-02-15,13,4
277,2023-02-15,13,7
278,2023-02-15,13,10
279,2023-02-15,13,1
280,2023-02-15,13,10
281,2023-02-15,13,5
282,2023-02-15,13,2
283,2023-02-15,13,5
284,2023-02-15,13,3
285,2023-02-08,7,1
286,2023-02-08,2,2
287,2023-02-08,8,3
288,2023-02-03,1,1
289,2023-02-03,2,2
290,2023-02-03,9,3
291,2023-01-23,2,1
292,2023-01-23,4,2
293,2023-01-23,3,3
294,2023-01-22,3,1
295,2023-01-22,8,1
296,2023-01-22,1,1
297,2023-01-22,5,2
298,2023-01-22,6,2
299,2023-01-22,7,3
300,2023-01-22,1,3
301,2023-01-22,3,3
302,2023-01-17,9,25
303,2023-01-05,4,1
304,2023-01-05,3,2
305,2023-01-05,3,3
306,2023-01-05,9,4
307,2022-12-29,9,30
308,2022-12-26,9,1
309,2022-12-26,9,2
310,2022-12-26,9,3
311,2022-12-26,9,4
312,2022-12-20,9,1
313,2022-12-20,9,2
314,2022-12-20,9,3
315,2022-12-16,9,1
316,2022-12-16,9,2
317,2022-12-16,9,3
318,2022-12-11,9,1
319,2022-12-11,9,2
320,2022-12-11,9,3
321,2022-12-11,9,4
322,2022-12-11,9,2
323,2022-12-11,9,1
324,2022-12-11,9,4
325,2022-12-11,9,3
326,2022-12-11,9,2
327,2022-12-11,9,1
328,2022-12-11,9,4
329,2022-12-11,9,3
330,2022-12-11,9,2
331,2022-12-11,9,1
332,2022-12-11,9,4
333,2022-12-11,9,3
334,2022-12-09,9,5
335,2022-12-08,9,2
336,2022-12-08,9,1
337,2022-12-08,9,3
338,2022-12-08,9,2
339,2022-12-08,9,1
340,2022-12-08,9,4
341,2022-12-08,9,3
342,2022-12-08,9,2
343,2022-12-08,9,1
344,2022-12-08,9,3
345,2022-11-25,9,2
346,2022-11-25,9,1
347,2022-11-25,9,4
348,2022-11-25,9,3
349,2022-11-24,9,33
350,2022-11-22,9,32
351,2022-11-22,9,2
352,2022-11-22,9,1
353,2022-11-22,9,4
354,2022-11-22,9,3
355,2022-11-22,9,2
356,2022-11-22,9,1
357,2022-11-22,9,4
358,2022-11-22,9,3
359,2022-11-22,9,2
360,2022-11-22,9,1
361,2022-11-22,9,4
362,2022-11-22,9,3
363,2022-11-22,9,2
364,2022-11-22,9,1
365,2022-11-22,9,4
366,2022-11-22,9,3
367,2022-11-22,9,2
368,2022-11-22,9,1
369,2022-11-22,9,3
370,2022-11-22,9,2
371,2022-11-22,9,1
372,2022-11-22,9,3
373,2022-11-07,9,2
374,2022-11-07,9,1
375,2022-11-07,9,4
376,2022-11-07,9,3
377,2022-11-06,9,32
378,2022-11-03,9,2
379,2022-11-03,9,1
380,2022-11-03,9,4
381,2022-11-03,9,3
382,2022-10-17,9,2
383,2022-10-17,9,1
384,2022-10-17,9,4
385,2022-10-17,9,3
386,2022-10-10,9,2
387,2022-10-10,9,1
388,2022-10-10,9,3
389,2022-10-09,9,2
390,2022-10-09,9,1
391,2022-10-09,9,3
392,2022-10-09,9,2
393,2022-10-09,9,1
394,2022-10-09,9,3
395,2022-10-02,9,2
396,2022-10-02,9,1
397,2022-10-02,9,4
398,2022-10-02,9,3
399,2022-09-30,9,5
400,2022-09-25,9,28
401,2022-09-25,9,2
402,2022-09-25,9,1
403,2022-09-25,9,4
404,2022-09-25,9,3
405,2022-09-25,9,28
406,2022-09-18,9,1
407,2022-09-15,9,2
408,2022-09-15,9,1
409,2022-09-15,9,4
410,2022-09-15,9,3
411,2022-09-15,9,5
412,2022-09-13,9,1
413,2022-09-12,9,31
414,2022-09-11,9,2
415,2022-09-11,9,1
416,2022-09-11,9,4
417,2022-09-11,9,3
418,2022-09-01,9,2
419,2022-09-01,9,1
420,2022-09-01,9,4
421,2022-09-01,9,3
422,2022-08-31,9,2
423,2022-08-31,9,1
424,2022-08-31,9,4
425,2022-08-31,9,3
426,2022-08-31,9,5
427,2022-08-30,9,13
428,2022-08-30,9,2
429,2022-08-30,9,1
430,2022-08-30,9,3
431,2022-08-29,9,2
432,2022-08-29,9,4
433,2022-08-29,9,3
434,2022-08-29,9,2
435,2022-08-29,9,4
436,2022-08-29,9,3
437,2022-08-29,9,2
438,2022-08-29,9,1
439,2022-08-29,9,4
440,2022-08-29,9,3
441,2022-08-29,9,2
442,2022-08-29,9,4
443,2022-08-29,9,3
444,2022-08-29,9,2
445,2022-08-29,9,4
446,2022-08-29,9,3
447,2022-08-29,9,2
448,2022-08-29,9,4
449,2022-08-29,9,3
450,2022-08-29,9,2
451,2022-08-29,9,4
452,2022-08-29,9,3
453,2022-08-29,9,4
454,2022-08-29,9,2
455,2022-08-29,9,1
456,2022-08-29,9,4
457,2022-08-29,9,3
458,2022-08-28,9,2
459,2022-08-28,9,1
460,2022-08-28,9,3
461,2022-08-28,9,2
462,2022-08-28,9,1
463,2022-08-28,9,3
464,2022-08-24,9,2
465,2022-08-24,9,1
466,2022-08-24,9,4
467,2022-08-24,9,3
468,2022-08-24,9,5
469,2022-08-24,9,2
470,2022-08-24,9,1
471,2022-08-24,9,4
472,2022-08-24,9,3
473,2022-08-24,9,5
474,2022-08-24,9,4
475,2022-08-24,9,5
476,2022-08-21,9,6
477,2022-08-18,9,13
478,2022-08-18,9,2
479,2022-08-18,9,1
480,2022-08-18,9,3
481,2022-08-15,9,2
482,2022-08-15,9,1
483,2022-08-15,9,3
484,2022-08-15,9,2
485,2022-08-15,9,1
486,2022-08-15,9,3
487,2022-08-10,9,1
488,2022-08-10,9,2
489,2022-08-10,9,1
490,2022-08-10,9,3
491,2022-08-10,9,2
492,2022-08-10,9,3
493,2022-08-10,9,2
494,2022-08-10,9,3
495,2022-08-04,9,1
496,2022-08-02,9,1
497,2022-07-31,9,2
498,2022-07-31,9,1
499,2022-07-31,9,4
500,2022-07-31,9,3
501,2022-07-20,9,1
502,2022-07-15,9,2
503,2022-07-15,9,1
504,2022-07-15,9,3
505,2022-07-15,9,2
506,2022-07-15,9,1
507,2022-07-15,9,3
508,2022-07-15,9,2
509,2022-07-15,9,1
510,2022-07-15,9,3
511,2022-07-15,9,2
512,2022-07-15,9,1
513,2022-07-15,9,3
514,2022-07-12,9,2
515,2022-07-12,9,1
516,2022-07-12,9,3
517,2022-07-12,9,2
518,2022-07-12,9,1
519,2022-07-12,9,3
520,2022-07-12,9,2
521,2022-07-12,9,1
522,2022-07-12,9,3
523,2022-07-12,9,2
524,2022-07-12,9,1
525,2022-07-12,9,3
526,2022-07-12,9,2
527,2022-07-12,9,1
528,2022-07-12,9,3
529,2022-07-12,9,2
530,2022-07-12,9,1
531,2022-07-12,9,3
532,2022-07-12,9,2
533,2022-07-12,9,1
534,2022-07-12,9,3
535,2022-07-12,9,2
536,2022-07-12,9,1
537,2022-07-12,9,3
538,2022-07-12,9,2
539,2022-07-12,9,1
540,2022-07-12,9,3
541,2022-07-12,9,2
542,2022-07-12,9,1
543,2022-07-12,9,3
544,2022-07-12,9,2
545,2022-07-12,9,1
546,2022-07-12,9,3
547,2022-07-12,9,2
548,2022-07-12,9,1
549,2022-07-12,9,3
550,2022-07-12,9,2
551,2022-07-12,9,1
552,2022-07-12,9,3
553,2022-07-03,9,1
554,2022-07-01,9,1
555,2022-06-30,9,1
556,2022-06-02,9,2
557,2022-06-02,9,1
558,2022-06-02,9,3
559,2022-06-02,9,2
560,2022-06-02,9,1
561,2022-06-02,9,3
562,2022-06-02,9,2
563,2022-06-02,9,1
564,2022-06-02,9,3
565,2022-06-02,9,2
566,2022-06-02,9,1
567,2022-06-02,9,3
568,2022-06-02,9,2
569,2022-06-02,9,1
570,2022-06-02,9,3
571,2022-06-02,9,2
572,2022-06-02,9,1
573,2022-06-02,9,3
574,2022-06-02,9,2
575,2022-06-02,9,1
576,2022-06-02,9,3
577,2022-06-02,9,2
578,2022-06-02,9,1
579,2022-06-02,9,3
580,2022-06-02,9,2
581,2022-06-02,9,1
582,2022-06-02,9,3
583,2022-06-02,9,2
584,2022-06-02,9,1
585,2022-06-02,9,3
586,2022-06-02,9,2
587,2022-06-02,9,1
588,2022-06-02,9,3
589,2022-06-02,9,2
590,2022-06-02,9,1
591,2022-06-02,9,3
592,2022-06-02,9,2
593,2022-06-02,9,1
594,2022-06-02,9,3
595,2022-06-02,9,2
596,2022-06-02,9,1
597,2022-06-02,9,3
598,2022-06-02,9,2
599,2022-06-02,9,1
600,2022-06-02,9,3
601,2022-03-29,9,2
602,2022-03-29,9,1
603,2022-03-29,9,3
604,2022-03-29,9,2
605,2022-03-29,9,1
606,2022-03-29,9,3
607,2022-03-29,9,2
608,2022-03-29,9,1
609,2022-03-29,9,3
610,2022-03-29,9,2
611,2022-03-29,9,1
612,2022-03-29,9,3
613,2022-03-29,9,2
614,2022-03-29,9,1
615,2022-03-29,9,3
616,2022-03-29,9,2
617,2022-03-29,9,1
618,2022-03-29,9,3
619,2022-03-29,9,2
620,2022-03-29,9,1
621,2022-03-29,9,3
622,2022-03-29,9,2
623,2022-03-29,9,1
624,2022-03-29,9,3
625,2022-03-29,9,2
626,2022-03-29,9,1
627,2022-03-29,9,3
628,2022-03-29,9,2
629,2022-03-29,9,1
630,2022-03-29,9,3
631,2022-03-29,9,2
632,2022-03-29,9,1
633,2022-03-29,9,3
634,2022-03-29,9,2
635,2022-03-29,9,1
636,2022-03-29,9,3
637,2022-03-29,9,2
638,2022-03-29,9,1
639,2022-03-29,9,3
640,2022-03-29,9,2
641,2022-03-29,9,1
642,2022-03-29,9,3
643,2022-03-29,9,2
644,2022-03-29,9,1
645,2022-03-29,9,3
646,2022-03-28,9,2
647,2022-03-28,9,1
648,2022-03-28,9,3
649,2022-03-28,9,2
650,2022-03-28,9,1
651,2022-03-28,9,3
652,2022-03-28,9,2
653,2022-03-28,9,1
654,2022-03-28,9,3
655,2022-03-28,9,2
656,2022-03-28,9,1
657,2022-03-28,9,3
658,2022-03-16,9,2
659,2022-03-16,9,1
660,2022-03-16,9,3
